"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"116","Cambodia",,"01234","Tomatoes",2015,24.6,"24.6%",,,"Post-harvest",,"","","Literature Review","Lisa Kitinoja (2015), measuring postharvest losses of fresh fruits and vegetables in developing countries",,"Sourced from Weinberger et al 2008 Reference has been generated automatically"
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,12.5,"12.5",,,"Farm",,"Immaturity Insect Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5",,,"Retail",,"Rotting/Decay Over-Ripening","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5",,,"Wholesale",,"Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia","Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar","01234","Tomatoes",2013,3.5,"3.5",,,"Trader",,"Physical Damage Rotting/Decay","onsite interviews were conducted involving 30 farmers, 30 collectors, 30 wholesalers from the two biggest wholesale markets (Deum Kor and Neak Meas markets) in Phnom Penh, and 35 wet market retailers for the traditional chain, and 30 farmers and 30 collectors from Kandal and Kampong Speu provinces including representatives from the development organization, PeriUrban Agricultural Center, as distribution or marketing arm serving the Lucky Supermarket chain, and supermarket managers for the modern chain",,"Buntong, B., 2Srilaong, V., 3Wasusri, T., 2Kanlayanarat, S. and 4*Acedo, A.L. Jr.","http://www.ifrj.upm.edu.my/20%20(01)%202013/31%20IFRJ%2020%20(01)%202013%20Acedo%20(162).pdf",
"116","Cambodia",,"01234","Tomatoes",2008,24.6,"24.6",,,"Whole supply chain",,"","588","Survey","Weinberger et al 2008","http://ucce.ucdavis.edu/files/datastore/234-1479.pdf",""
"116","Cambodia",,"01234","Tomatoes",2006,7,"7%","67kg/MT","Wholesale","Wholesale","Wet season  ( May to October)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,1,"1%","16kg/MT","Collection","Trader","Dry season 1 ( November to January)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,6,"6%","105.0kg","Farm","Farm","Dry season 2 ( January to April)",,,"Survey","Genova 2 et al (2006)",,
"116","Cambodia",,"01234","Tomatoes",2006,8,"8%","105.0kg","Wholesale","Wholesale","Dry season 1 ( November to January)",,,"Survey","Genova 2 et al (2006)",,
